;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
DFS Emissions (MTCO2e);12,48586197;12,81599923;13,1461365;13,47627376;12,10851736;6,690893102;7,438423152;9,106754938;10,69883749;12,07615121;13,4961063;13,4689757;13,4390343;13,40604332;13,3695667;13,32407176;12,98787758;12,63922459;12,27627797;11,89745417;11,45167942;10,95186767;10,40244219;9,800470555;9,14409897;8,432292516;7,782612757;7,085645998;6,340424027;5,545258958;4,697696429;3,785030847;2,81162888;1,773978647;1,52726686;1,541343535
DFL Emissions (MTCO2e);65,55077536;67,28399598;69,0172166;70,75043723;63,56971615;35,12718879;39,05172155;47,81046343;56,16889682;63,39979383;70,85455805;70,71212242;70,55493006;70,38172741;70,19022519;69,95137674;68,18635729;66,35592911;64,45045934;62,46163438;60,12131696;57,49730528;54,61282151;51,45247041;48,00651959;44,26953571;40,85871698;37,19964149;33,28722614;29,11260953;24,66290625;19,87141195;14,76105162;9,313387897;8,018151013;8,092053557
PAF Emissions (MTCO2e);70,82281542;74,52833515;78,23385488;81,93937462;83,79199598;45,61609674;50,12486992;60,7364976;70,63172369;78,95460137;87,41282836;86,3945548;85,35806589;84,28847301;83,1723028;81,75668282;78,57657822;75,34502484;72,06288993;68,73476598;63,94467999;59,04518697;54,14278909;49,261743;44,42538378;39,64989654;35,44848878;31,3143762;27,23694911;23,2001376;19,18474776;15,12796519;11,05419483;6,946618191;5,529532461;4,860303769
PAS Emissions (MTCO2e);258,6347149;272,1667389;285,698763;299,230787;305,9962932;166,5834111;183,0488009;221,8009359;257,9368754;288,3308253;319,2190512;315,5004629;311,7153548;307,8093558;303,733263;298,5636229;286,9503392;275,149172;263,1632883;251,0094593;233,5167556;215,6245132;197,7216627;179,8967858;162,235099;144,7957078;129,4527722;114,3555888;99,46541275;84,72355889;70,05993391;55,24514862;40,3683264;25,36804849;20,19305563;17,7491289
PAL Emissions (MTCO2e);542,4993112;570,8834116;599,267512;627,6516124;641,8426016;349,4170757;383,9540584;465,2386088;541,0355578;604,7883949;669,578001;661,7780752;653,8386207;645,6455915;637,0957821;626,2522021;601,892756;577,1392147;551,9982215;526,5049544;489,8131293;452,2832518;414,7311232;377,3425483;340,2962726;303,7162733;271,5336948;239,8665941;208,6337015;177,7119222;146,954232;115,8794754;84,67459318;53,21075647;42,35594891;37,22968977
Total Emissions (MTCO2e);949,9934788;997,6784809;1045,363483;1093,048485;1107,309124;603,4346655;663,6178739;804,6932606;936,4718913;1047,549767;1160,560545;1147,854191;1134,906006;1121,531191;1107,56114;1089,847956;1048,593908;1006,628565;963,951137;920,6082682;858,8475613;795,402125;731,6108387;667,7540181;604,1073739;540,8637058;485,0762855;429,8218466;374,9637135;320,2934872;265,5595163;209,909032;153,6697949;96,61278969;77,62395487;69,47251953
DFS Activity (bln RTK);10,4947582;11,16615605;11,8375539;12,50895176;10,78921201;11,26865405;11,76554845;12,28170979;12,81784617;13,37470792;13,95309452;14,55378256;15,17922674;15,83051819;16,50880704;17,21527727;17,95535469;18,72608573;19,52814579;20,36226168;21,26483132;22,2100221;23,20057655;24,23797573;25,32369414;26,4592362;27,64617965;28,88614191;30,18089807;31,53238288;32,94267982;34,41399154;35,9485953;37,54879646;39,21687475;40,95378925
DFL Activity (bln RTK);106,1136662;112,9022445;119,6908228;126,4794011;109,0909215;113,9386131;118,9627676;124,1817324;129,6026668;135,2331579;141,081289;147,1549125;153,4788481;160,0641283;166,9223823;174,0655813;181,5485864;189,3415335;197,4512519;205,8850904;215,0110722;224,5680012;234,5836074;245,0728657;256,0506852;267,5322771;279,5335943;292,0709904;305,1624139;318,8274269;333,087096;347,9636922;363,4802413;379,660053;396,526178;414,0883135
PAF Activity (bln RTK);103,6494077;111,1787342;118,7080608;126,2373873;132,0365014;56,28966803;63,8866698;88,10168344;111,0357101;133,853948;155,146239;159,420524;163,8071485;168,3073176;172,9223028;177,6534755;182,4003994;187,2635312;192,2515863;197,3733786;202,585515;207,9326341;213,4042578;219,0056985;224,7425497;230,6206803;236,6461978;242,8264374;249,1688159;255,6809348;262,370607;269,2459195;276,3153573;283,5878931;291,0731173;298,8006566
PAS Activity (bln RTK);184,5978018;198,0074021;211,4170023;224,8266026;235,1547245;100,2509248;113,7810535;156,9075739;197,7526785;238,3915655;276,3127674;283,9251949;291,7376974;299,7524207;307,9716294;316,397766;324,8519554;333,513109;342,3967489;351,5185724;360,8012971;370,3244237;380,0692909;390,0453598;400,2625925;410,7314414;421,4627838;432,4696837;443,7653501;455,363321;467,2775116;479,5223241;492,1128706;505,065131;518,3961858;532,1587995
PAL Activity (bln RTK);494,9632038;530,9184462;566,8736886;602,828931;630,5217867;268,8034118;305,0818279;420,717228;530,2354544;639,2007482;740,8790964;761,2903443;782,2380546;803,7279806;825,7661949;848,359246;871,0275152;894,2507188;918,0704762;942,5288767;967,4187027;992,9531198;1019,082091;1045,830985;1073,226513;1101,296701;1130,070714;1159,583582;1189,87072;1220,96843;1252,914021;1285,746111;1319,50522;1354,234194;1389,978832;1426,880612
Total Activity (bln RTK);899,8188377;964,172983;1028,527128;1092,881274;1117,593146;550,5512718;613,4778673;802,1899274;981,444356;1160,054128;1327,372486;1366,344758;1406,440975;1447,682365;1490,091316;1533,691346;1577,783811;1623,094978;1669,698209;1717,66818;1767,081418;1817,988201;1870,339824;1924,192885;1979,606034;2036,640336;2095,35947;2155,836835;2218,148198;2282,372496;2348,591916;2416,892039;2487,362284;2560,096068;2635,191188;2712,882171
DFS Intensity (gCO2e/RTK);1189,723645;1147,753907;1110,545017;1077,330381;1126,581908;1086,774823;1049,397202;1014,233223;981,0918899;949,8035675;920,2170727;892,1972335;865,6228238;840,3848102;816,3848565;793,5340436;762,0610552;674,9528317;628,645346;584,2894249;538,5266993;493,1047625;448,3699863;404,343608;361,0886674;318,6899446;281,5077112;245,2956861;210,0806945;175,8591788;142,6021336;109,9852321;78,21248248;47,24462072;38,94412468;37,63616415
DFL Intensity (gCO2e/RTK);617,7411233;595,9491441;576,6291433;559,3830823;584,9559908;564,2869275;544,8793166;526,6210964;509,4130967;493,167237;477,8050185;463,2562559;449,4580047;436,3536514;423,892137;412,0272919;395,6855479;350,456278;326,4120066;303,3810475;279,6196323;256,0351652;232,8074929;209,9476426;187,4883465;165,4736251;146,1674654;127,3650678;109,0803606;91,31149667;74,04341552;57,10771667;40,61032744;24,53086076;20,22098781;19,54185446
PAF Intensity (gCO2e/RTK);683,2920417;670,3470377;659,0441659;649,0895953;635,5453804;613,0887718;592,0027113;572,1654454;553,4692274;535,8183592;519,1275532;503,320554;488,3289735;474,0913022;460,5520649;447,6610994;429,9060544;402,3475599;374,8363866;348,2474002;315,6429026;283,9630596;253,7099758;224,9336129;197,6723315;171,9268909;149,7953025;128,9578537;109,3112274;90,73862945;73,12079649;56,18642324;40,00572007;24,49546811;18,99705652;16,26604113
PAS Intensity (gCO2e/RTK);1401,071477;1374,528104;1351,351877;1330,940305;1303,168266;1257,12161;1213,885224;1173,209458;1134,873379;1098,680761;1064,456724;1032,044908;1001,305086;972,1111335;944,3493012;917,9167319;881,5105022;825,0025697;768,5916679;714,071685;647,2170624;582,2584183;520,2253048;461,2201666;405,3216613;352,5313458;307,1511345;264,4245207;224,1396556;186,0570559;149,9321756;115,2087105;82,03062512;50,22728145;38,95294021;33,35306851
PAL Intensity (gCO2e/RTK);1096,039679;1075,275149;1057,144694;1041,176991;1019,451292;983,4296024;949,6063502;917,7862364;887,7964289;859,4834226;832,7104111;807,3550765;783,3077204;760,4696778;738,7519637;718,0741145;689,5940027;645,3885948;601,2590926;558,6088314;506,3093446;455,4930568;406,9653729;360,806434;317,0777729;275,7806075;240,2802686;206,855804;175,341487;145,5499732;117,2899572;90,12624991;64,1714727;39,29213773;30,47236975;26,0916642
Total Intensity (gCO2e/RTK);1055,760825;1034,750505;1016,369383;1000,153;990,4296476;955,4334197;922,5730448;891,658783;862,5227226;835,0157283;809,0048884;784,3713671;761,0085889;738,8206976;717,7212414;697,6320473;669,9627047;620,1907952;577,3205791;535,9639767;486,0260271;437,5177598;391,1646587;347,0307075;305,1654538;265,5666277;231,5002712;199,3758709;169,0435805;140,333573;113,0718004;86,85081029;61,78022232;37,7379548;29,45666911;25,60838074
