;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
DFS Emissions (MTCO2e);12,48586197;12,81599923;13,1461365;13,47627376;12,7876434;12,7366999;12,68575639;12,63481288;12,58386937;12,53292586;12,48198235;12,43103885;12,38009534;12,32915183;12,27820832;12,22726481;12,09878501;11,97030521;11,8418254;11,7133456;11,5848658;11,456386;11,32790619;11,19942639;11,07094659;10,94246678;10,89085991;10,83925304;10,78764617;10,7360393;10,68443243;10,63282556;10,58121869;10,52961182;10,47800494;10,42639807
DFL Emissions (MTCO2e);65,55077536;67,28399598;69,0172166;70,75043723;67,13512787;66,86767445;66,60022104;66,33276762;66,0653142;65,79786078;65,53040736;65,26295394;64,99550052;64,7280471;64,46059368;64,19314026;63,5186213;62,84410233;62,16958337;61,4950644;60,82054544;60,14602648;59,47150751;58,79698855;58,12246958;57,44795062;57,17701455;56,90607847;56,6351424;56,36420633;56,09327025;55,82233418;55,55139811;55,28046203;55,00952596;54,73858989
PAF Emissions (MTCO2e);70,82281542;74,52833515;78,23385488;81,93937462;83,92920961;83,5948518;83,26049399;82,92613619;82,59177838;82,25742057;81,92306277;81,58870496;81,25434715;80,91998935;80,58563154;80,25127373;79,40802155;78,56476936;77,72151717;76,87826498;76,03501279;75,1917606;74,34850841;73,50525623;72,66200404;71,81875185;71,48004019;71,14132853;70,80261687;70,46390521;70,12519356;69,7864819;69,44777024;69,10905858;68,77034692;68,43163526
PAS Emissions (MTCO2e);258,6347149;272,1667389;285,698763;299,230787;306,4973776;305,2763511;304,0553245;302,834298;301,6132715;300,392245;299,1712185;297,9501919;296,7291654;295,5081389;294,2871124;293,0660858;289,9866504;286,9072149;283,8277795;280,748344;277,6689085;274,5894731;271,5100376;268,4306021;265,3511667;262,2717312;261,0348051;259,7978789;258,5609527;257,3240266;256,0871004;254,8501742;253,6132481;252,3763219;251,1393958;249,9024696
PAL Emissions (MTCO2e);542,4993112;570,8834116;599,267512;627,6516124;642,8936513;640,3324868;637,7713223;635,2101579;632,6489934;630,0878289;627,5266644;624,9654999;622,4043354;619,8431709;617,2820064;614,7208419;608,2615713;601,8023007;595,3430301;588,8837594;582,4244888;575,9652182;569,5059475;563,0466769;556,5874063;550,1281357;547,5336209;544,9391061;542,3445913;539,7500765;537,1555618;534,561047;531,9665322;529,3720174;526,7775026;524,1829879
Total Emissions (MTCO2e);949,9934788;997,6784809;1045,363483;1093,048485;1113,24301;1108,808064;1104,373118;1099,938173;1095,503227;1091,068281;1086,633335;1082,19839;1077,763444;1073,328498;1068,893552;1064,458607;1053,27365;1042,088692;1030,903735;1019,718778;1008,533821;997,3488643;986,1639073;974,9789502;963,7939932;952,6090361;948,1163406;943,623645;939,1309495;934,638254;930,1455584;925,6528629;921,1601673;916,6674718;912,1747762;907,6820807
DFS Activity (bln RTK);10,4947582;11,16615605;11,8375539;12,50895176;11,35083327;11,719723;12,08861274;12,45750247;12,82639221;13,19528194;13,56417168;13,93306141;14,30195115;14,67084088;15,03973061;15,40862035;15,87639852;16,34417669;16,81195486;17,27973303;17,74751121;18,21528938;18,68306755;19,15084572;19,61862389;20,08640206;20,73602511;21,38564815;22,0352712;22,68489425;23,33451729;23,98414034;24,63376338;25,28338643;25,93300947;26,58263252
DFL Activity (bln RTK);106,1136662;112,9022445;119,6908228;126,4794011;114,7695364;118,4994215;122,2293066;125,9591917;129,6890768;133,4189619;137,1488469;140,878732;144,6086171;148,3385022;152,0683873;155,7982724;160,5280295;165,2577865;169,9875436;174,7173007;179,4470577;184,1768148;188,9065719;193,6363289;198,366086;203,0958431;209,6642539;216,2326647;222,8010755;229,3694863;235,9378971;242,5063079;249,0747186;255,6431294;262,2115402;268,779951
PAF Activity (bln RTK);103,6494077;111,1787342;118,7080608;126,2373873;132,0585629;136,3503226;140,6420822;144,9338419;149,2256015;153,5173612;157,8091208;162,1008805;166,3926401;170,6843998;174,9761594;179,2679191;184,7101727;190,1524263;195,5946798;201,0369334;206,479187;211,9214406;217,3636942;222,8059478;228,2482014;233,690455;241,2483394;248,8062238;256,3641082;263,9219926;271,479877;279,0377614;286,5956459;294,1535303;301,7114147;309,2692991
PAS Activity (bln RTK);184,5978018;198,0074021;211,4170023;224,8266026;235,1940157;242,8375654;250,4811151;258,1246647;265,7682144;273,4117641;281,0553138;288,6988635;296,3424132;303,9859628;311,6295125;319,2730622;328,9656217;338,6581812;348,3507406;358,0433001;367,7358596;377,4284191;387,1209785;396,813538;406,5060975;416,198657;429,6591183;443,1195797;456,5800411;470,0405025;483,5009639;496,9614252;510,4218866;523,882348;537,3428094;550,8032707
