;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
AT.CRE (sqm);119360000;119692892,8;119707094;119489862,9;119108813,4;118614884,4;118045093,5;117425061,3;116771319,9;116093397,4;115395679,8;114679052,6;113942320,6;113183404,2;112400315,7;111591912,4;110758429,1;109901789,5;109025692,6;108135479;107237779;106339931,2;105449186,9;104571690,1;103711230,3;102867784,8;102035825,9;101202420,8;100345094,3;99429482,61;98406757,65
BE.CRE (sqm);200151851,9;200956296,3;201309455;201332459,5;201118843,2;200738842,3;200243367,1;199667636,4;199034472,9;198357263,2;197642581,9;196892476,7;196106418,4;195282915;194420785,3;193520101,5;192582787,8;191612892,7;190616511,7;189601384,4;188576147,8;187549256,1;186527565,4;185514575,1;184508340,1;183499041,1;182466224,1;181375692,2;180176075,2;178795048,3;177135226,5
BG.CRE (sqm);66870000;67145262,61;67379802,2;67575455,79;67734068,96;67857495,85;67947599,15;68006250,17;68035328,8;68036723,58;68012331,68;67964058,93;67893819,85;67803537,63;67695144,19;67570580,18;67431794,98;67280746,76;67119402,43;66949737,75;66773737,25;66593394,31;66410711,17;66227698,93;66046377,56;65868775,96;65696931,93;65532892,21;65378712,5;65236457,47;65108200,78
CY.CRE (sqm);7607306;7553691,955;7523210,414;7506630,083;7496968,45;7489158,53;7479739,611;7466567,086;7448549,565;7425408,334;7397461,922;7365431,378;7330271,739;7293026,946;7254706,577;7216186,584;7178135,655;7140965,039;7104796,366;7069463,283;7034526,177;6999317,995;6963009,694;6924701,325;6883534,937;6838833,113;6790260,418;6738007,204;6682997,42;6627122,595;6573496,55
CZ.CRE (sqm);182440785,8;183827335,8;185224423,5;186632129,1;188050533,3;189479717,4;190919763,2;192370753,4;193832771,1;195305900,2;196790225;198285830,8;199792803,1;201311228,4;202841193,7;204382786,8;205936096;207501210,3;209078219,5;210667214;212268284,8;213881523,7;215507023,3;217144876,7;218795177,8;220458021,1;222133502,1;223821716,7;225522761,7;227236734,7;228963733,9
DK.CRE (sqm);107569000;107264154,1;106661935,4;105848196,9;104889533,9;103836194,7;102724775;101580692,5;100420439,8;99253620,92;98084765,43;96914928,93;95743063,41;94567182,21;93385293,58;92196121,35;90999603,56;89797175,07;88591825,04;87387941,47;86190931,28;85006624,27;83840455,81;82696432,1;81575871,7;80475935,87;79387929,53;78295389,82;77171955,29;75979010,09;74663113,9
EE.CRE (sqm);15528887,71;15619172,26;15677564,12;15711378,98;15726440,68;15727303,25;15717447,94;15699472,35;15675257,12;15646117,53;15612941,86;15576304,04;15536574,41;15493996,78;15448764,23;15401068,51;15351135,64;15299247;15245741,29;15191000,7;15135421,92;15079366,71;15023100,64;14966712,66;14910016,96;14852442,86;14792902,45;14729644,23;14660093,65;14580669,32;14486588,54
FI.CRE (sqm);110000000;109509999,9;108879999,9;108119999,9;107239999,9;106249999,9;105159999,9;103979999,9;102719999,9;101389999,9;100000000;98559999,88;97079999,87;95569999,88;94039999,87;92499999,88;90959999,88;89429999,88;87919999,88;86439999,88;85000000;83609999,88;82279999,87;81019999,88;79839999,87;78749999,88;77759999,87;76879999,88;76119999,88;75489999,87;75000000
FR.CRE (sqm);989868252;988548824,7;988372322,1;988676203,8;988977367,3;988943651,4;988367474,6;987141629;985237201,6;982683643,1;979550984,9;975934187,9;971939639,6;967673787,5;963233922;958701092,9;954135173,9;949572065,9;945023045,6;940476246,1;935900295,6;931250082;926474666,6;921527344,6;916377834,9;911026624,9;905521444,2;899975895,1;894590209,2;889674159,7;885672101,5
DE.CRE (sqm);1784524178;1786399742;1784514885;1779396019;1771536949;1764742255;1749410378;1735967506;1721433662;1706139687;1685470524;1674431541;1658516075;1642837776;1627564491;1612932266;1598741310;1585364113;1572737312;1560865807;1554923577;1539244942;1529342323;1519888481;1510725212;1497390191;1492474953;1482908714;1472674629;1461451561;1449968948
EL.CRE (sqm);137863790;137452519,5;136968520,7;136415404,7;135796799,2;135116348,8;134377714,8;133584575,4;132740625,6;131849577,3;130915159,2;129941117,1;128931213,7;127889228,8;126818959,1;125724218,6;124608838,3;123476666,3;122331567,9;121177425,7;120018139,6;118857626,6;117699821,1;116548674,9;115408157,3;114282254,7;113174971,3;112090328,6;111032365,7;110005139,1;109012723,1
HU.CRE (sqm);99880000;98218898,46;97111927,38;96352524,22;95784272,57;95293355,71;94801551,63;94259774,79;93642159,01;92940690,5;92160379,49;91314979,61;90423252,76;89505774,32;88582287,76;87669600,69;86780026,23;85920369,31;85091456,92;84288213,12;83500278,59;82713175,97;81910016,15;81073753,42;80189982,06;79250279,73;78256092,39;77223168;76186530,17;75205999,65;74372259,32
IE.CRE (sqm);71281986,56;71226143,43;71189787,84;71150901,08;71093626,08;71007310,83;70885622,91;70725734,05;70527571,62;70293136,12;70025894,59;69730237,56;69411004,52;69073082;68721068,52;68359007,97;67990190,79;67617026,82;67240985,89;66862606,1;66481572,18;66096863,25;65706967,38;65310165,5;64904886,26;64490129,41;64065953,55;63634038,96;63198316,49;62765661,62;62346666,91
IT.CRE (sqm);450269135;455623929,1;460739786,5;465627426,6;470297619;474761182,9;479028987,7;483111953,1;487021049;490767295,5;494361763,5;497815574,2;501139899,5;504345962,2;507445035,9;510448445,1;513367565,7;516213824,2;518998699;521733719,4;524430466,5;527100572,8;529755722,5;532407651,7;535068148,3;537749052,1;540462255,2;543219701,8;546033388,2;548915363,5;551877728,9
LV.CRE (sqm);20233333,33;20411380,49;20547196,96;20650671,83;20729613,61;20790055,97;20836542,3;20872384,8;20899903,34;20920641,07;20935556,69;20945195,21;20949834,08;20949609,08;20944615,69;20934988,37;20920958,84;20902886,55;20881274,38;20856753,4;20830052,38;20801938,18;20773137,79;20744236,11;20715552,26;20686989,86;20657869,46;20626734,4;20591135,28;20547393,72;20490339,75
LT.CRE (sqm);31150000;30966754,08;30861532,84;30800590,59;30758713;30717915,78;30666238,35;30596632,29;30505941,49;30393977,85;30262688,22;30115417,48;29956263,56;29789526,88;29619253,44;29448871,34;29280920,9;29116878,92;28957075,13;28800704,61;28645931,92;28490089,54;28329970,11;28162212,9;27983781,46;27792538,46;27587911,74;27371653,87;27148697,26;26928101,81;26724094,7
LU.CRE (sqm);17127819,55;17261293,76;17267269,88;17188225,53;17056461,15;16895666,95;16722374,03;16547288,49;16376500,29;16212586,58;16055586,71;15903866,4;15754857,81;15605690,85;15453694,19;15296793,68;15133780,44;14964465,04;14789718,98;14611390,77;14432110,35;14254973,43;14083102,61;13919104,04;13764393,6;13618411,35;13477719,02;13334973,23;13177790,17;12987485,91;12737704,08
MT.CRE (sqm);4000000;4014710,522;4022589,882;4025463,836;4024714,322;4021347,47;4016063,714;4009318,09;4001372,823;3992351,314;3982278,802;3971121,634;3958819,512;3945314,943;3930571,467;3914591,189;3897424,589;3879176,138;3860002,188;3840102,562;3819712,843;3799081,232;3778450,322;3758021,34;3737925,396;3718180,722;3698644,285;3678964,816;3658519,707;3636358,218;3611127,159
NL.CRE (sqm);403000000;406519873,4;409937721,5;413253544,3;416467341,8;419579113,9;422588860,8;425496582,3;428302278,5;431005949,4;433607594,9;436107215,2;438504810,1;440800379,7;442993924,1;445085443;447074936,7;448962405,1;450747848,1;452431265,8;454012658,2;455492025,3;456869367,1;458144683,5;459317974,7;460389240,5;461358481;462225696,2;462990886,1;463654050,6;464215189,9
PL.CRE (sqm);383690000;384104569,4;383627814,7;382506458;380930472,9;379041874,2;376942835;374703134,9;372366932,9;369958871,7;367489507,5;364960068,6;362366542,6;359703092,3;356964796,4;354149722,8;351260327,1;348304179,6;345294021,1;342247146,2;339184114,4;336126790,8;333095711,9;330106784,1;327167304,7;324271316,1;321394284,6;318487108,2;315469454,2;312222422,6;308580537,1
PT.CRE (sqm);105140000;104734698,4;104043399,9;103149925;102119234,8;101000300,4;99828754,77;98629326,09;97418052,79;96204278,71;94992429,55;93783572,99;92576756,4;91370127;90161837,36;88950723,23;87736773,89;86521372,36;85307327,04;84098677,33;82900282,94;81717196,11;80553812,14;79412804,7;78293838,16;77192063,57;76096396,98;74987576,66;73836002,72;72599358,51;71220010,88
RO.CRE (sqm);83850000;85016642,35;85966772,31;86750973,68;87409640,23;87974360,86;88469222,61;88912011,03;89315329,15;89687617,04;90034077,78;90357518,69;90659090,81;90938944,48;91196787,23;91432351,22;91645765,43;91837843,23;92010268,86;92165694,38;92307747,05;92440942,28;92570502,84;92702087,78;92841429,24;92993874,06;93163836,6;93354157,87;93565369,43;93794870,16;94036007,74
SK.CRE (sqm);56321349;56198237,4;56142514,11;56111988,38;56076416,53;56015547,86;55917318,01;55776194,85;55591674,77;55366926,36;55107588,23;54820715,17;54513874,2;54194392,16;53868753,93;53542147,91;53218167,11;52898654,24;52583703,94;52271809,34;51960161,7;51645101,72;51322718,12;50989597,83;50643728,95;50285548,4;49919146,34;49553616,36;49204557,37;48895727,42;48660844,5
SI.CRE (sqm);27680000;27797014,51;27869339,95;27904635,35;27909437,29;27889295,19;27848899,11;27792201,5;27722515,52;27642615,89;27554821,21;27461062,81;27362949,97;27261815,32;27158756,7;27054666,62;26950240,93;26845992,27;26742236,59;26639082,08;26536395,95;26433767,61;26330455,73;26225328,07;26116785,19;26002678,16;25880215,06;25745845,45;25595154,64;25422723,53;25221992,18
ES.CRE (sqm);354950000;357449560,5;359157112,7;360274634;360959391,2;361330793,8;361476718,9;361459304,1;361320210,6;361085356,8;360769122,2;360378019,7;359913837,3;359376254,6;358764921,5;358081011,6;357328246,9;356513387;355646193,8;354738860,1;353804915,4;352857594,7;351907681,3;350960818;350014287,2;349053264,7;348046537,8;346941697,5;345659800;344089496,4;342080631,6
SE.CRE (sqm);176000000;175467233,4;175126469,9;174862966,2;174593738,7;174262519,5;173835083,3;173294945,7;172639434,3;171876132,4;171019693,5;170089027,8;169104860,9;168087664,5;167055960,4;166024993,1;165005777,2;164004517;163022395,8;162055738,4;161096544,7;160133399,6;159152746,1;158140540,3;157084271,1;155975353,3;154811897,9;153601845,3;152366479;151144306,6;149995311,7
UK.CRE (sqm);894720596,3;909672528,9;920039020,9;930523647,8;941127755,9;951852706,9;962699877,8;973670661,4;984766466,4;995988717,6;1007338856;1018818339;1030428640;1042171250;1054047678;1066059447;1078208101;1090495199;1102922319;1115491057;1128203026;1141059858;1154063206;1167214737;1180516142;1193969127;1207575420;1221336769;1235254940;1249331720;1263568917
HR.CRE (sqm);58722937;58641259,58;59028624,43;59416803,61;59804846,73;60191803,4;60576723,22;60958655,78;61336650,7;61709757,57;62077026;62437505,61;62790245,98;63134296,72;63468707,44;63792527,73;64104807,21;64404595,47;64690942,13;64962896,77;65219509;65459828,45;65682904,7;65887787,35;66073526,01;66239170,29;66383769,78;66506374,1;66606032,84;66681795,61;66732712
CH.CRE (sqm);236031300;236854480,8;237372254,9;237662863,4;237791139,6;237810010,3;237761921,4;237680174,9;237590177,7;237510600,1;237454458,7;237430103,8;237442119,1;237492145,1;237579601,5;237702337,6;237857187,5;238040439,4;238248219;238476793,3;238722771,6;238983241,1;239255796,1;239538496,3;239829725,9;240127976,3;240431539,3;240738107,7;241044296,9;241345080,2;241633129,5
NO.CRE (sqm);75888426,27;76321645,67;77146589,59;77911444,9;78671436,55;79368386,58;80007467,18;80593672,92;81131813,62;81626506,39;82082167,2;82503003,82;82893008,44;83255945,41;83731111,77;84187448,72;84627915,61;85055229,99;85471854,5;85879987,36;86281547,84;86678167,1;87071172,23;87461575,67;87946279,4;88430119,21;88913073,98;89394751,28;89874369,24;90350741,07;90822257,11
Europe.CRE (sqm);7271720934;7300470746;7319416938;7332829429;7341282189;7348599400;7345304415;7341980095;7335825663;7327365347;7312184146;7305487474;7292962867;7279907351;7266792939;7253871454;7241072419;7228875313;7217300657;7206414197;7201428640;7186696672;7177731305;7169191573;7160991715;7148545218;7144415990;7135513482;7125816614;7115024042;7103918353
AT.RESI (sqm);412368725,8;417036757;421642720,4;426187859,9;430673419,7;435100643,7;439470776;443785060,7;448044741,9;452251063,6;456405269,8;460508604,6;464562312;468567636,2;472525821,1;476438110,9;480305749,5;484129981;487912049,6;491653199,1;495354673,8;499017717,6;502643574,6;506233488,8;509788704,3;513310465,2;516800015,6;520258599,4;523687460,7;527087843,6;530460992,1
BE.RESI (sqm);415700000;418457818,8;421042342,6;423463845,4;425732648,6;427859120,9;429853678,5;431726784,9;433488951,8;435150738,2;436722751,3;438215645,8;439640125;441006940;442326890,1;443610823,1;444869635,3;446114271,2;447355724,2;448605036,4;449873298,5;451171650,4;452511280,7;453903427,4;455359377,5;456890467,2;458508082,4;460223658,2;462048679,5;463994680,6;466073245,9
BG.RESI (sqm);237833200;238635051,1;239372935,2;240046852,2;240656802,2;241202785,2;241684801,1;242102850;242456931,9;242747046,7;242973194,4;243135375,2;243233588,9;243267835,5;243238115,1;243144427,7;242986773,2;242765151,7;242479563,2;242130007,6;241716485;241238995,3;240697538,6;240092114,9;239422724,1;238689366,3;237892041,5;237030749,6;236105490,6;235116264,7;234063071,7
CY.RESI (sqm);35940000;36058239,69;36195186,99;36350193,72;36522608,65;36711777,51;36917042,96;37137744,6;37373218,93;37622799,4;37885816,35;38161597,04;38449465,64;38748743,19;39058747,63;39378793,79;39708193,38;40046254,95;40392283,94;40745582,65;41105450,22;41471182,63;41842072,72;42217410,14;42596481,38;42978569,74;43362955,35;43748915,13;44135722,82;44522648,93;44908960,78
CZ.RESI (sqm);372879461,8;375385178,1;377910501,5;380455598,9;383020638,7;385605790,8;388211226,6;390837118,9;393483642,3;396150972,7;398839287,7;401548766,3;404279589,4;407031939,2;409805999,6;412601956,2;415419996,3;418260308,6;421123083,7;424008513,8;426916792,9;429848116,7;432802682,4;435780689,4;438782338,4;441807832,1;444857375,1;447931173,7;451029436;454152372;457300193,6
