;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
AT.RSF.CO2-INT (kg/sqm);27,15214686;25,34063342;23,25077485;21,25147916;19,34788162;17,60814936;15,83592644;14,22722526;12,71493149;11,29698763;9,927397438;8,772627121;7,653545296;6,610562941;5,639943523;4,740977267;3,89933216;3,127985299;2,475043915;1,953848202;1,537625487;1,30596183;1,131166775;0,978533452;0,846425985;0,723743971;0,635544168;0,551580114;0,477732756;0,410344856;0,346595881
BE.RSF.CO2-INT (kg/sqm);43,36710589;40,42558172;37,03938782;33,80307671;30,72577442;27,91671305;25,06159451;22,47343253;20,04425979;17,77011929;15,57704428;13,72962755;11,94182611;10,27753727;8,730365417;7,298778494;5,959634449;4,733242934;3,695740186;2,868037027;2,20738715;1,840080558;1,563209011;1,321595545;1,112609689;0,918579972;0,779340927;0,646783854;0,530248241;0,423893698;0,323194543
BG.RSF.CO2-INT (kg/sqm);27,481616;25,80752188;23,82101056;21,90015066;20,05316955;18,35389143;16,59889252;14,99528726;13,47453903;12,03609644;10,63191425;9,443443632;8,279028927;7,183609382;6,154423563;5,1920193;4,281711455;3,439212975;2,720421091;2,142932868;1,678722725;1,421764036;1,227648112;1,057016752;0,908397763;0,769088887;0,669063641;0,572863973;0,487641308;0,409172849;0,334154419
CY.RSF.CO2-INT (kg/sqm);23,67330498;22,54110315;21,07556314;19,61768095;18,18454154;16,85030058;15,43131948;14,12058359;12,85623494;11,63862312;10,42121345;9,384531659;8,341284624;7,337067965;6,370670973;5,444591621;4,545257151;3,691652434;2,948592496;2,341574099;1,845249173;1,574176808;1,368645806;1,184721174;1,021728019;0,865075395;0,75262495;0,641457852;0,540915056;0,446035553;0,352782138
CZ.RSF.CO2-INT (kg/sqm);59,3032622;55,27825795;50,63694807;46,19650354;41,97129481;38,11239406;34,19030042;30,63454676;27,29771723;24,1746926;21,16452252;18,62890421;16,17681557;13,89560119;11,77651114;9,817418749;7,986760043;6,312139842;4,896872241;3,768847405;2,869437916;2,369101583;1,992108645;1,663538516;1,379711901;1,116683044;0,928005782;0,748749922;0,591429965;0,448153639;0,312848191
DK.RSF.CO2-INT (kg/sqm);18,03992715;16,95872996;15,67417814;14,43117712;13,23419213;12,13122605;10,98912608;9,943784155;8,950718543;8,010003537;7,090543176;6,311758199;5,5482277;4,829676828;4,154473214;3,523098046;2,925993635;2,373503035;1,902281293;1,523836167;1,219757455;1,051591078;0,924655168;0,813146783;0,716095968;0,625179399;0,560028528;0,497419938;0,442040991;0,391129181;0,342520777
EE.RSF.CO2-INT (kg/sqm);85,77093706;80,43505797;74,15576371;68,10831064;62,30870751;56,9820289;51,48458339;46,46395203;41,70286239;37,19835966;32,79838208;29,07414174;25,4218117;21,9827888;18,74827608;15,71997869;12,8514307;10,19240083;7,92051137;6,092638872;4,620923399;3,805998382;3,18956791;2,646584397;2,172575893;1,727052554;1,406367209;1,096988762;0,821966558;0,567771174;0,323727096
FI.RSF.CO2-INT (kg/sqm);22,53491064;21,21159365;19,62737299;18,09156427;16,61070267;15,24588944;13,82842559;12,53018064;11,29449891;10,12117075;8,970087306;7,994370468;7,033246166;6,124892605;5,267368769;4,461568019;3,695368489;2,98265008;2,372127231;1,87999567;1,483068789;1,26399436;1,098389514;0,952309391;0,824653511;0,704426;0,618148716;0,534756578;0,460631139;0,392107953;0,326302061
FR.RSF.CO2-INT (kg/sqm);18,54606717;17,40122568;16,0444503;14,73260113;13,47314882;12,31626251;11,12705065;10,04325367;9,019002572;8,053488254;7,114547991;6,321179039;5,546578742;4,819946485;4,139103658;3,504093831;2,905054508;2,35202367;1,881152522;1,503504346;1,200478806;1,032641585;0,90596898;0,794852207;0,698271811;0,607973863;0,543219631;0,481102858;0,426194007;0,375744248;0,327606122
DE.RSF.CO2-INT (kg/sqm);42,69335445;39,77170789;36,41479521;33,20758314;30,1607669;27,37801351;24,56154031;22,00793697;19,61450326;17,376749;15,22639115;13,40796144;11,65478958;10,02457296;8,510858827;7,11205685;5,804881829;4,609600116;3,599590316;2,794628255;2,15224189;1,795489557;1,526076419;1,291300246;1,088531047;0,90103409;0,765919754;0,637970914;0,525741482;0,423620962;0,327269236
