";2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050"
"AT.RSF.GHG-INT (kg/sqm);27,66489034;25,70277925;23,60896466;21,605849;19,58946049;17,84727012;16,07266936;14,40872829;12,89470892;11,47509298;10,08182114;8,925674839;7,798033149;6,753815709;5,781996312;4,881863585;4,004146038;3,231971233;2,578223798;2,056242955;1,639255109;1,406845438;1,231322653;1,077979082;0,945178091;0,821818551;0,732956527;0,648344892;0,573863964;0,505855897;0,441499576"
"BE.RSF.GHG-INT (kg/sqm);44,11119037;40,95356789;37,564133;34,32482123;31,08328299;28,27244479;25,41567563;22,74637051;20,31608825;18,04090967;15,81313297;13,96491195;12,16518044;10,50019936;8,952363065;7,520133619;6,12518103;4,898327648;3,860366774;3,03220515;2,371092458;2,003314766;1,725959974;1,483847342;1,274342708;1,079771006;0,93996328;0,806807454;0,689639773;0,58261674;0,481209721"
"BG.RSF.GHG-INT (kg/sqm);30,83238369;28,19288516;26,19902079;24,27148477;21,68261491;19,9796484;18,22140708;16,24925854;14,72667902;13,28673996;11,72520879;10,53600891;9,319147132;8,223581162;7,194522413;6,232518916;5,062592489;4,22080688;3,502935544;2,926577013;2,463707509;2,208302558;2,015955977;1,847312439;1,700903;1,564029046;1,466668142;1,373366706;1,291281081;1,216193848;1,1448067"
"CY.RSF.GHG-INT (kg/sqm);28,22284067;25,78011541;24,30232035;22,83067842;20,38749085;19,0418985;17,61073172;15,7978433;14,52292689;13,29425864;11,85983726;10,81275903;9,691317319;8,676673625;7,699644349;6,762763934;5,525685206;4,663803933;3,912415855;3,297040293;2,792350508;2,512925701;2,299073585;2,106876907;1,935677376;1,770899554;1,650419541;1,531331959;1,422990262;1,320445044;1,219669862"
"CZ.RSF.GHG-INT (kg/sqm);60,69786376;56,2677526;51,61983059;47,17281097;42,63935805;38,77597852;34,84943131;31,14141316;27,8011745;24,67476004;21,59913223;19,06058136;16,58515963;14,30118402;12,17934851;10,21752632;8,284805098;6,60816094;5,190881001;4,060855399;3,159456668;2,65714257;2,278183295;1,947658209;1,661887971;1,396926776;1,206328414;1,025162645;0,865943923;0,720779928;0,583597859"
"DK.RSF.GHG-INT (kg/sqm);18,23014332;17,09314365;15,80731314;14,56319242;13,32446356;12,22091432;11,07831176;10,01249819;9,019150035;8,078197501;7,150039987;6,371112779;5,60464573;4,88600625;4,210731864;3,579300119;2,968110703;2,415590878;1,944342495;1,565870644;1,261762451;1,093561171;0,96658228;0,855020196;0,757902357;0,666902873;0,601650694;0,538919988;0,483395803;0,432313458;0,383507202"
"EE.RSF.GHG-INT (kg/sqm);86,36390644;80,86145747;74,58505178;68,54052667;62,60850108;57,2838955;51,78855187;46,70093257;41,94151632;37,43871079;33,01019564;29,28748335;25,62647063;22,18894578;18,95595321;15,92919855;13,00951997;10,35168217;8,081002905;6,254359131;4,78389134;3,970233407;3,355089878;2,813413635;2,340733214;1,896559274;1,57724516;1,26926031;0,99565462;0,742899239;0,50031924"
"FI.RSF.GHG-INT (kg/sqm);22,86170161;21,44624171;19,86340149;18,32912581;16,77551631;15,41196633;13,9958681;12,66094955;11,42648216;10,25444628;9,087902016;8,113451363;7,147926445;6,240906417;5,384779288;4,580437857;3,785661799;3,07413012;2,464839011;1,973983233;1,578375009;1,360660702;1,196455767;1,05181336;0,925630673;0,806909126;0,722167444;0,640336956;0,567795118;0,500872845;0,436679962"
"FR.RSF.GHG-INT (kg/sqm);19,3660825;17,98529317;16,62753829;15,31521933;13,87443885;12,71765837;11,52866156;10,35438928;9,330360453;8,36505708;7,387330149;6,5940868;5,806574772;5,079989815;4,399161486;3,764138496;3,100062687;2,54699724;2,076088638;1,698405307;1,395351911;1,227496837;1,100817806;0,989704174;0,893131205;0,80283697;0,738068171;0,675902002;0,620884595;0,570238006;0,521779424"
"DE.RSF.GHG-INT (kg/sqm);42,92694638;39,93696869;36,57875727;33,37054152;30,27245937;27,4892079;24,67239016;22,09349697;19,69982115;17,46183777;15,30061332;13,48201413;11,72512807;10,09472352;8,58081617;7,181796421;5,857069386;4,661657459;3,651525018;2,84645085;2,203944422;1,847126635;1,577645122;1,342812867;1,13999904;0,952453371;0,817339424;0,689371734;0,577127231;0,474982616;0,37856606"
