;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
Beef Brazil Activity (Mt);5,294668198;5,422916412;5,551164627;5,679413319;5,807661533;5,935909748;6,066618919;6,197327614;6,328036308;6,458745003;6,589453697;6,720162868;6,850871563;6,981580257;7,112289429;7,242998123;7,348419666;7,453841686;7,559263706;7,664685249;7,770107269;7,875529289;7,980950832;8,086373329;8,191794395;8,297216415;8,402638435;8,508059502;8,613481522;8,718903542;8,824325562;8,929747581;9,035169601;9,140591621;9,246012688;9,351434708
Beef Canada Activity (Mt);0,814218044;0,823804319;0,833390534;0,842976809;0,852563024;0,862149298;0,87152946;0,880909622;0,890289843;0,899670005;0,909050226;0,918430388;0,927810609;0,937190771;0,946570992;0,955951154;0,964272678;0,972594261;0,980915844;0,989237368;0,997558951;1,005880475;1,014201999;1,022523642;1,030845165;1,039166689;1,047488213;1,055809855;1,064131379;1,072452903;1,080774426;1,08909595;1,097417474;1,105739236;1,11406076;1,122382283
Beef Central America Activity (Mt);0,354988396;0,362193733;0,369399071;0,376604408;0,383809775;0,391015083;0,397861779;0,404708445;0,411555111;0,418401778;0,425248474;0,43209514;0,438941836;0,445788473;0,452635139;0,459481835;0,465229928;0,470978081;0,476726174;0,482474297;0,48822245;0,493970543;0,499718666;0,505466759;0,511214912;0,516963065;0,522711158;0,528459251;0,534207344;0,539955497;0,54570359;0,551451683;0,557199836;0,562947989;0,568696082;0,574444175
Beef Central Asia Activity (Mt);0,756661534;0,778428495;0,800195515;0,821962476;0,843729496;0,865496457;0,87973386;0,893971324;0,908208668;0,922446072;0,936683536;0,950920939;0,965158343;0,979395747;0,993633151;1,007870555;1,0152179;1,022565365;1,02991271;1,037260056;1,04460752;1,051954865;1,05930233;1,066649556;1,073997021;1,081344366;1,088691711;1,096039057;1,103386521;1,110733986;1,118081212;1,125428677;1,132776022;1,140123367;1,147470713;1,154818177
Beef Central Europe Activity (Mt);0,58264327;0,586333096;0,590022922;0,593712807;0,597402632;0,601092458;0,604200125;0,607307732;0,610415399;0,613523066;0,616630673;0,61973834;0,622845948;0,625953615;0,629061222;0,632168889;0,633294165;0,634419441;0,635544717;0,636669934;0,63779521;0,638920426;0,640045762;0,641170979;0,642296255;0,643421531;0,644546807;0,645672023;0,646797299;0,647922516;0,649047792;0,650173068;0,651298285;0,65242362;0,653548837;0,654674113
Beef China Region Activity (Mt);3,777018309;3,858525991;3,940033674;4,021541595;4,103048801;4,184556961;4,247074127;4,309591293;4,372108459;4,434626102;4,497143269;4,559660435;4,622178078;4,684695244;4,74721241;4,809729576;4,828704357;4,847678661;4,866652966;4,88562727;4,904601574;4,923575878;4,942550659;4,961524487;4,980499268;4,999474049;5,018447876;5,037422657;5,056396961;5,075371265;5,09434557;5,113319874;5,132294178;5,151268959;5,170242786;5,189217567
Beef Eastern Africa Activity (Mt);1,0493716;1,086552501;1,123733401;1,160914421;1,198095322;1,235276222;1,285663128;1,336050034;1,386436939;1,436823845;1,487210751;1,537597775;1,587984562;1,638371587;1,688758373;1,739145398;1,796632767;1,854120255;1,911607742;1,96909523;2,026582718;2,084070206;2,141557455;2,199044943;2,256532431;2,314019918;2,371507406;2,428994656;2,486482382;2,54396987;2,601457119;2,658944368;2,716432333;2,773919582;2,831406832;2,88889432
Beef India Activity (Mt);1,828751802;1,865190268;1,901628613;1,938066959;1,974505305;2,010943651;2,040363789;2,069783688;2,099204063;2,128624201;2,1580441;2,187464237;2,216884375;2,246304512;2,275724411;2,305144548;2,325107336;2,345069647;2,365032434;2,384994745;2,404957294;2,424920082;2,444882393;2,464845181;2,484807491;2,504770041;2,524732828;2,544695139;2,564657927;2,584620237;2,604582787;2,624545574;2,644507885;2,664470673;2,684432983;2,704395533
Beef Indonesia Region Activity (Mt);0,286978364;0,291782618;0,296586841;0,301391065;0,306195289;0,310999513;0,314644456;0,31828934;0,321934283;0,325579166;0,32922411;0,332869023;0,336513937;0,34015885;0,343803763;0,347448677;0,350944012;0,354439348;0,357934684;0,361430019;0,364925385;0,36842069;0,371916026;0,375411361;0,378906697;0,382402033;0,385897368;0,389392674;0,39288801;0,396383345;0,399878681;0,403374046;0,406869382;0,410364717;0,413860023;0,417355359
Beef Japan Activity (Mt);0,258431017;0,259312481;0,260193944;0,261075377;0,261956871;0,262838334;0,262609661;0,262380987;0,262152314;0,261923671;0,261694998;0,261466324;0,261237651;0,261008978;0,260780305;0,260551661;0,259364843;0,258178025;0,256991237;0,25580439;0,254617572;0,253430754;0,252243966;0,251057148;0,24987033;0,248683512;0,247496709;0,246309906;0,245123088;0,24393627;0,242749467;0,24156265;0,240375832;0,239189029;0,238002211;0,236815393
Beef Korea Activity (Mt);0,125776574;0,12763454;0,129492491;0,131350473;0,133208439;0,13506639;0,136546731;0,138027042;0,139507383;0,140987709;0,14246802;0,143948361;0,145428687;0,146909013;0,148389339;0,149869666;0,150762141;0,151654616;0,152547076;0,153439566;0,154332042;0,155224517;0,156116977;0,157009453;0,157901928;0,158794418;0,159686878;0,160579354;0,161471829;0,162364289;0,163256764;0,16414924;0,16504173;0,16593419;0,166826665;0,167719141
