;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
Beef Brazil Intensity (tCO2e/t);43,72995462;42,85800608;42,2387079;41,76859342;41,13643048;40,65640515;40,09852245;39,55128225;39,14758871;38,73806232;38,33735248;37,41081192;36,98621886;36,55953365;36,1525044;35,72289932;36,23401925;35,8074869;35,40399338;35,14477687;34,74729596;34,93621112;34,67705355;34,28717692;34,06649911;33,71224033;32,74038336;32,3614915;32,1225263;31,77158527;31,40227282;30,1979312;29,80035797;29,37202589;28,9664108;28,55794317
Beef Canada Intensity (tCO2e/t);23,07496443;22,70358722;22,46744753;22,08685599;21,83506574;21,59171827;21,11146495;20,77390937;20,43658126;20,09749124;19,7597007;19,42532965;18,96728911;18,57354217;18,18173921;17,78150895;17,53861219;17,28472357;17,04907937;16,80162122;16,55676379;16,32559237;16,08166706;15,86050615;15,64586286;15,44170492;15,20673067;15,00012755;14,79365539;14,58827216;14,39285865;14,19224818;13,97473391;13,76920175;13,55796744;13,33999415
Beef Central America Intensity (tCO2e/t);43,74151654;42,61256673;41,75029194;40,9153368;40,07940679;39,24282781;38,58746386;37,97065337;37,21774994;36,60605506;35,98894044;35,25088573;34,65992482;34,20784155;33,63684482;33,04334001;32,66970562;32,11297576;31,69879279;31,1441896;30,73406679;30,37376752;29,96903661;29,58930545;29,05111524;28,67474862;28,21280982;27,81915848;27,43019273;27,03948786;26,66873438;26,21338123;25,65422468;25,11645823;24,69618046;24,1555614
Beef Central Asia Intensity (tCO2e/t);14,12837029;13,78768053;13,47100857;13,15301126;12,84697448;12,57628734;12,36538847;12,15237661;11,94070444;11,74235623;11,55210122;11,3682936;11,18613613;11,00175169;10,82165406;10,65911999;10,52197173;10,39039514;10,27480274;10,14113839;10,01072319;9,894710138;9,781817182;9,655211304;9,544315334;9,440024431;9,323172331;9,198792803;9,087434639;8,961267368;8,853969566;8,724231486;8,590624592;8,460882163;8,329078212;8,201007505
Beef Central Europe Intensity (tCO2e/t);18,12094823;17,93779749;17,7522083;17,56135325;17,38254937;17,18969525;17,04860767;16,92707959;16,8091175;16,67657837;16,554641;16,43986555;16,32487077;16,20712711;16,10439558;15,9933966;15,87740034;15,75740002;15,64146081;15,52659826;15,40996594;15,29922164;15,19241286;15,08740607;14,990429;14,89608337;14,76823696;14,65723602;14,55078015;14,44465572;14,33948255;14,19625371;14,05467049;13,91344677;13,76212725;13,60879718
Beef China Region Intensity (tCO2e/t);27,85166986;27,34284052;26,84124801;26,33434971;25,82752211;25,45690675;25,03789133;24,74078203;24,32717541;24,03349389;23,76360502;23,36618333;23,08795827;22,81786557;22,5478373;22,14212173;21,90627649;21,67232729;21,4365747;21,20314834;21,11780697;20,89268342;20,67274926;20,45362596;20,24691338;20,04117743;19,81496255;19,60298198;19,39159146;19,18193173;18,97286729;18,73728196;18,36256649;18,12688238;17,84595536;17,57544706
Beef Eastern Africa Intensity (tCO2e/t);53,2806714;51,5333562;49,84143946;48,31830762;46,81613715;45,48347223;44,08664357;42,70788018;41,47265354;40,40693072;39,24434793;38,24017793;37,20801315;36,22233211;35,23717863;34,41691946;33,61326347;32,84116855;32,04976994;31,30177364;30,55624673;29,93490489;29,19285062;28,61219591;28,03540734;27,48015784;26,87882457;26,30269442;25,72881957;25,31507089;24,7658642;24,18865219;23,61278528;22,91948474;22,34509688;21,93129005
Beef India Intensity (tCO2e/t);80,93392152;79,1852527;77,42445063;75,67493879;73,97222294;72,23048973;70,80642293;69,38532518;67,95935654;66,54957192;65,15696185;63,95162626;62,57909067;61,3811595;60,15162735;58,95537105;57,83061124;56,6950769;55,6818171;54,68972442;53,69943465;52,75011157;51,78811092;50,83314398;50,04388086;49,1194073;48,30554607;47,36875673;46,57596575;45,78684562;45,03751889;44,06707879;43,11279096;42,1779627;41,23549063;40,26553958
Beef Indonesia Region Intensity (tCO2e/t);54,19346833;53,315625;52,4006281;51,625405;50,85283512;49,97647083;48,90341345;48,23495;47,70893536;47,0388169;46,38036167;44,5102719;43,87487083;43,38627071;42,75996238;42,12348929;41,32747774;40,73325298;40,29325048;39,7087156;39,25921869;38,80090024;38,23255464;37,8277269;37,41180262;36,85960738;36,41213075;35,8262802;35,38490162;34,95908121;34,38279462;33,76272226;33,17361048;32,69046558;32,0816232;31,46527364
Beef Japan Intensity (tCO2e/t);15,56262127;15,34037521;15,12720604;14,89997913;14,68221271;14,47029088;14,29101563;14,11184637;13,96347926;13,80086095;13,64210287;13,49258843;13,33386015;13,17754074;13,01970451;12,86363326;12,75033089;12,6042976;12,47255671;12,34200999;12,2164824;12,11508893;11,99117519;11,88058117;11,75960796;11,65350701;11,48900038;11,37482517;11,24642332;11,13375115;11,02595843;10,8794228;10,72989682;10,58165026;10,4429864;10,2947578
Beef Korea Intensity (tCO2e/t);30,12629008;29,47741385;28,85619376;28,22989207;27,59947088;26,96663261;26,43908829;25,92356598;25,4272709;24,93735857;24,58897982;24,13180717;23,65416787;23,32237231;22,85319511;22,53072789;22,13901602;21,84878782;21,41892364;21,13340448;20,8552578;20,46974811;20,20476471;19,9461526;19,6351028;19,38681702;19,05725712;18,78984531;18,51491288;18,26183486;18,01262717;17,70217407;17,3882033;17,06973512;16,75790217;16,4462396
Beef Mexico Intensity (tCO2e/t);37,78421398;36,82554461;36,20810107;35,61121588;34,99988165;34,37808917;33,76274304;33,19560119;32,79554208;32,23637049;31,83755812;31,39342963;30,84598905;30,45918002;29,90802838;29,52314008;28,98914261;28,59842561;28,22524383;27,83267314;27,46529421;27,04481461;26,6795787;26,29677577;25,94308856;25,59591608;25,17949613;24,80943546;24,44237529;24,082462;23,74237917;23,12646696;22,75790182;22,39220129;21,87993823;21,51433435
Beef Middle East Intensity (tCO2e/t);19,80979678;19,28080046;18,80321044;18,329257;17,87026616;17,4604173;17,08555821;16,75679048;16,4373929;16,1412815;15,83539874;15,53016347;15,27594298;14,9981303;14,74055518;14,49839033;14,29679975;14,09247422;13,89624187;13,69015601;13,49776636;13,32176304;13,14268752;12,97355084;12,80127613;12,65291132;12,45638985;12,28390827;12,11405612;11,947546;11,78389853;11,59038345;11,39809136;11,20581794;11,02742063;10,84995134
