;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
Freight 2-3 Wheelers Activity (bln tkm);3,069550384;3,008159376;2,946768369;2,885377361;2,823986353;2,762595346;2,707343439;2,652091532;2,596839625;2,541587718;2,486335811;2,436609095;2,386882379;2,337155662;2,287428946;2,23770223;2,192948185;2,148194141;2,103440096;2,058686052;2,013932007;1,973653367;1,933374727;1,893096087;1,852817446;1,812538806;1,77628803;1,740037254;1,703786478;1,667535702;1,631284926;1,598659227;1,566033529;1,53340783;1,500782132;1,468156433
Freight 2-3 Wheelers TTW Emissions (MTCO2e);1,337997956;1,295360927;1,252723898;1,21008687;1,167449841;1,124812812;1,090425439;1,056038067;1,021650695;0,987263322;0,95287595;0,917149988;0,881424026;0,845698064;0,809972102;0,77424614;0,721206932;0,668167724;0,615128516;0,562089308;0,5090501;0,40959704;0,31014398;0,21069092;0,11123786;0,0117848;0,009537402;0,007290004;0,005042606;0,002795208;0,00054781;0,000532686;0,000517562;0,000502439;0,000487315;0,000472191
Freight 2-3 Wheelers TTW Intensity (gCO2e/tkm);435,8937918;430,6157903;425,1178721;419,3859999;413,4049158;407,1580058;402,7658345;398,1906561;393,4207891;388,4435367;383,2450731;376,4042372;369,2783664;361,8492671;354,0971635;346,0005219;328,8755003;311,0369361;292,4392841;273,0330384;252,764293;207,5324101;160,4158654;111,2943613;60,03713971;6,501819346;5,369287937;4,18956772;2,959646643;1,676250737;0,335815012;0,333208087;0,33049254;0,327661438;0,324707245;0,321621754
Freight 2-3 Wheelers WTT Emissions (MTCO2e);0,265278689;0,251040862;0,236803034;0,222565206;0,208327378;0,194089551;0,183141328;0,172193104;0,161244881;0,150296658;0,139348435;0,129335668;0,119322901;0,109310134;0,099297367;0,089284599;0,081065483;0,072846366;0,06462725;0,056408133;0,048189017;0,038685827;0,029182637;0,019679447;0,010176257;0,000673067;0,000537717;0,000402366;0,000267015;0,000131664;-3,69E-06;-9,67E-06;-1,56E-05;-2,16E-05;-2,76E-05;-3,36E-05
Freight 2-3 Wheelers WTT Intensity (gCO2e/tkm);86,42265351;83,45331152;80,36024695;77,13556261;73,7706746;70,25623602;67,64613788;64,92728565;62,09273758;59,13494829;56,0457017;53,08018767;49,99111056;46,77058336;43,41003323;39,90012533;36,96643787;33,91051344;30,72454967;27,40006574;23,92782696;19,6011252;15,09414421;10,39537678;5,492315123;0,371339611;0,302719218;0,231239641;0,15671838;0,078957065;-0,002260309;-0,006047065;-0,009991602;-0,014103991;-0,01839518;-0,022877089
Freight 2-3 Wheelers WTW Emissions (MTCO2e);1,603276645;1,546401789;1,489526932;1,432652076;1,375777219;1,318902363;1,273566767;1,228231171;1,182895576;1,13755998;1,092224385;1,046485656;1,000746926;0,955008197;0,909269468;0,863530739;0,802272414;0,74101409;0,679755766;0,618497441;0,557239117;0,448282867;0,339326617;0,230370367;0,121414117;0,012457867;0,010075118;0,00769237;0,005309621;0,002926872;0,000544123;0,000523019;0,000501915;0,000480811;0,000459708;0,000438604
Freight 2-3 Wheelers WTW Intensity (gCO2e/tkm);522,3164453;514,0691018;505,478119;496,5215625;487,1755904;477,4142419;470,4119724;463,1179417;455,5135267;447,578485;439,2907748;429,4844248;419,269477;408,6198505;397,5071967;385,9006473;365,8419382;344,9474495;323,1638337;300,4331042;276,69212;227,1335353;175,5100096;121,6897381;65,52945484;6,873158957;5,672007155;4,420807362;3,116365024;1,755207801;0,333554703;0,327161022;0,320500938;0,313557447;0,306312064;0,298744665
Freight Both Medium & Heavy Freight Trucks Activity (bln tkm);26523,0823;27462,1967;28401,31111;29340,42551;30279,53991;31218,65432;32279,09093;33339,52754;34399,96416;35460,40077;36520,83739;37820,3092;39119,78101;40419,25282;41718,72464;43018,19645;44312,40575;45606,61506;46900,82436;48195,03366;49489,24297;50776,31333;52063,38369;53350,45405;54637,52441;55924,59477;57245,84082;58567,08686;59888,3329;61209,57894;62530,82498;63952,63014;65374,43529;66796,24045;68218,0456;69639,85076
Freight Both Medium & Heavy Freight Trucks TTW Emissions (MTCO2e);1885,489389;1903,942976;1922,396563;1940,85015;1959,303737;1977,757325;1982,105237;1986,453149;1990,801061;1995,148973;1999,496885;1992,142629;1984,788373;1977,434117;1970,079862;1962,725606;1935,114023;1907,502441;1879,890859;1852,279276;1824,667694;1786,94908;1749,230467;1711,511854;1673,79324;1636,074627;1593,367373;1550,66012;1507,952866;1465,245613;1422,538359;1378,008314;1333,478269;1288,948224;1244,418178;1199,888133
Freight Both Medium & Heavy Freight Trucks TTW Intensity (gCO2e/tkm);71,08862263;69,32959502;67,68689501;66,14935252;64,70718324;63,35178015;61,40523725;59,58252246;57,87218416;56,26414055;54,74948079;52,67388531;50,73618313;48,92307451;47,22291678;45,62547405;43,66980286;41,82512643;40,08225621;38,43299061;36,86998597;35,19257235;33,59809415;32,08054897;30,63449997;29,25501085;27,83376662;26,4766476;25,17940963;23,93817501;22,74939376;21,54732825;20,39754933;19,29671812;18,24177411;17,22990673
